game_id,season_type,week,game_date,home_team,away_team,posteam,defteam,location,stadium,roof,surface,temp,wind,qtr,down,ydstogo,yardline_100,time,quarter_seconds_remaining,game_seconds_remaining,score_differential,goal_to_go,posteam_timeouts_remaining,defteam_timeouts_remaining,play_type,rush_attempt,pass_attempt,field_goal_attempt,shotgun,no_huddle,qb_dropback,run_location,run_gap,pass_length,pass_location,air_yards,yards_after_catch,yards_gained,success,epa,touchdown
2024_10_MIA_LA,REG,10,11/11/2024,LA,MIA,LA,MIA,Home,SoFi Stadium,dome,matrixturf,,,4,3.0,10,12.0,0:42,42.0,42.0,-11.0,0,1.0,1.0,field_goal,0.0,0.0,1.0,0,0,0.0,,,,,,,0.0,1.0,0.1042188732213431,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,JAX,MIN,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,1.0,10,70.0,15:00,900.0,3600.0,0.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,0.0,0.0,-0.516592893,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,JAX,MIN,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,2.0,10,70.0,14:22,862.0,3562.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,right,0.0,2.0,2.0,0.0,-0.613308566,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,JAX,MIN,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,3.0,8,68.0,13:39,819.0,3519.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,14.0,,0.0,0.0,-1.450099147,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,JAX,MIN,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,4.0,8,68.0,13:33,813.0,3513.0,0.0,0,3.0,3.0,punt,0.0,0.0,0.0,0,0,0.0,,,,,,,0.0,1.0,0.3454522681422531,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,MIN,JAX,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,1.0,10,80.0,13:25,805.0,3505.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,0,0,1.0,,,short,right,11.0,0.0,11.0,1.0,0.7776794852688909,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,MIN,JAX,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,1.0,10,69.0,12:51,771.0,3471.0,0.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,3.0,0.0,-0.280376404,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,MIN,JAX,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,2.0,7,66.0,12:13,733.0,3433.0,0.0,0,3.0,3.0,run,1.0,0.0,0.0,1,0,0.0,middle,,,,,,4.0,0.0,-0.186668406,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,MIN,JAX,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,3.0,3,62.0,11:36,696.0,3396.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,5.0,0.0,5.0,1.0,1.3010783719364554,0.0
2024_10_MIN_JAX,REG,10,11/10/2024,JAX,MIN,MIN,JAX,Home,EverBank Stadium,outdoors,grass,79.0,7.0,1,1.0,10,57.0,10:50,650.0,3350.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,0,0,1.0,,,deep,right,19.0,,0.0,0.0,-0.497791184,0.0
